# English abstractness lexicon, 0 (fully concrete) .. 100 (fully abstract).
# Derived from the human-rated concreteness norms of Brysbaert, Warriner &
# Kuperman (2014), "Concreteness ratings for 40 thousand generally known
# English word lemmas", Behavior Research Methods 46, 904-911.
# Transform: abstractness = round((5 - Conc.M) / 4 * 100). Single words only;
# words known to fewer than 85% of raters are excluded.
# Curated project-specific additions belong in abstractness_extra_en.tsv
# (same format, one "word<TAB>grade" per line); they override this file.
ambulatory	52
ambush	46
ambusher	51
amen	80
amenable	78
amend	67
amendable	79
amendatory	85
amendment	64
amends	77
amenity	54
americanize	80
amethyst	23
amiable	65
amicability	88
amicable	82
amicableness	86
amicably	72
amid	68
amidst	71
amigo	43
amino	56
amiss	87
ammo	4
ammonia	14
ammonium	24
ammunition	3
amnesia	35
amnesiac	53
amnesty	70
amoeba	31
amoebic	54
amok	75
among	66
amongst	55
amoral	88
amorality	84
amorously	80
amorousness	77
amorphous	71
amorphously	76
amount	56
amp	35
amperage	48
amphetamine	21
amphibian	31
amphibious	34
amphibiously	59
amphitheater	16
ample	62
ampleness	75
amplification	52
amplifier	5
amplify	51
amplitude	52
amply	75
amputate	28
amputation	31
amputee	5
amuck	83
amulet	25
amusable	72
amuse	61
amused	76
amusedly	75
amusement	73
amuser	37
amusing	72
amusingly	75
an	88
anaconda	2
anaerobic	59
anaesthetize	58
anagram	34
anagrams	46
anal	43
analgesic	36
anally	52
analog	58
analogical	80
analogous	86
analogue	48
analogy	85
analyses	74
analysis	61
analyst	19
analytic	80
analytical	78
analytically	80
analytics	64
analyzability	77
analyzable	78
analyze	68
analyzer	61
anamorphic	66
anaphylactic	50
anarchic	81
anarchical	81
anarchism	77
anarchist	54
anarchistic	78
anarchy	72
anatomic	64
anatomical	48
anatomically	50
anatomist	35
anatomization	66
anatomy	35
ancestor	44
ancestors	41
ancestral	76
ancestrally	67
ancestry	54
anchor	6
anchorage	38
anchored	32
anchorless	43
anchorman	7
anchorwoman	8
anchovy	1
ancient	74
anciently	65
and	87
androgyny	60
android	20
anecdotal	75
anecdote	59
anecdotic	70
anemia	44
anemic	56
anemone	19
anesthesia	40
anesthesiologist	18
anesthesiology	35
anesthetic	27
anesthetist	42
anesthetization	55
anesthetize	38
aneurism	36
aneurysm	30
anew	82
angel	30
angelfish	0
angelic	70
angelical	59
angelically	69
anger	65
angers	68
angioplasty	37
angle	38
angled	42
angler	22
angles	35
angleworm	13
angling	56
angrily	62
angriness	64
angry	62
angst	76
anguish	66
anguished	68
angular	48
angus	20
animal	10
animalistic	65
animalize	67
animate	49
animated	51
animatedly	70
animating	48
animation	40
animator	25
anime	34
animosity	72
ankle	5
anklebone	2
anklet	6
annex	25
annexation	67
annihilate	56
annihilation	58
annihilative	76
annihilator	54
anniversary	46
annotate	50
annotation	48
annotative	77
annotator	37
announce	42
announcement	55
announcer	12
annoy	77
annoyance	72
annoyed	53
annoyer	49
annoying	67
annoyingly	74
annoyingness	81
annual	80
annually	56
annuity	59
annul	68
annulment	69
annunciation	75
anoint	54
anointed	57
anointer	41
anointment	55
anomaly	80
anonymity	78
anonymous	74
anonymously	75
anonymousness	73
anorexia	40
anorexic	54
another	58
answer	53
answerability	94
answerable	77
answerably	84
answerer	36
answerless	73
ant	3
antacid	19
antagonism	67
antagonist	56
antagonistic	73
antagonistically	70
antagonize	64
antarctic	20
ante	50
anteater	3
antelope	0
antenna	6
antennae	4
anterior	38
anthem	41
anthill	3
anthologist	37
anthology	48
anthrax	14
anthropological	68
anthropologically	76
anthropologist	25
anthropology	65
anthropomorphic	62
anti	72
antiaircraft	38
antibacterial	46
antibiotic	14
antibiotics	14
antibody	38
antic	71
anticensorship	80
antichrist	52
antichristian	75
antichurch	62
anticipate	86
anticipation	77
anticipative	80
anticipator	62
anticipatory	83
anticlimactic	75
anticlimax	80
anticlockwise	51
anticoagulant	38
anticoagulation	56
anticommunism	84
anticommunist	64
anticonvulsive	56
anticorrosive	52
antics	60
antidemocratic	73
antidepressant	30
antidote	40
antiestablishment	68
antifeminism	75
antifeminist	72
antifoaming	42
antifreeze	12
antifundamentalist	82
antifungal	36
antigambling	80
antiglare	48
antigovernment	79
antigravity	66
antigrowth	66
antihero	57
antiheroic	86
antihistamine	33
antihuman	86
antimatter	81
antimilitarist	56
antimilitary	82
antimonarchical	79
antinationalist	71
antioxidant	35
antipasto	26
antipathy	86
antipatriotic	78
antipersonnel	67
antiperspirant	19
antipoetic	84
antipollution	70
antipoverty	78
antipsychotic	69
antiquate	80
antiquated	70
antiquation	77
antique	31
antiquely	74
antiques	20
antiquing	43
antiquity	72
antirealism	88
antireligious	84
antirevolutionary	86
antirust	76
antisemitic	70
antisemitism	79
antiseptic	29
antiseptically	70
antiseptics	26
antislavery	68
antismoking	54
antisocial	78
antisocialist	68
antitheft	61
antitheses	84
antithesis	68
antitoxic	46
antitoxin	46
antitrust	84
antiviral	46
antivirus	38
antiwar	68
antler	3
antlered	21
antlerless	30
antonym	55
antsy	62
anus	3
anvil	1
anxiety	70
anxious	83
anxiously	73
anxiousness	73
any	82
anybody	58
anyhow	88
anymore	74
anyone	57
anyplace	64
anything	90
anytime	86
anyway	83
anyways	85
anywhere	70
aorta	10
apache	28
apart	46
apartment	2
apartments	7
apartness	66
apathetic	84
apathetically	76
apathy	74
ape	5
apelike	54
apex	40
aphid	6
aphrodisiac	45
aphrodisiacal	67
aplenty	61
apnea	47
apocalypse	70
apocalyptic	79
apocalyptical	78
apocalyptically	76
apolitical	88
apologetic	78
apologetically	84
apologetics	81
apologist	51
apologize	59
apologizer	55
apology	54
apostle	44
apostolic	68
apostrophe	28
apothecary	31
app	29
appall	80
appalled	70
appalling	74
appallingly	72
apparatus	31
apparel	10
apparent	82
apparently	81
apparentness	74
apparition	64
apparitional	75
appeal	82
appealable	82
appealing	71
appealingly	72
appear	47
appearance	61
appeasable	78
appease	77
appeasement	82
appeaser	77
appeasing	80
append	74
appendage	19
appendectomy	15
appendices	38
appendicitis	38
appendix	19
appetite	56
appetizer	7
appetizing	72
appetizingly	79
applaud	30
applaudable	76
applauder	27
applause	18
apple	0
applecart	2
applesauce	1
appliance	11
applicability	83
applicable	68
applicableness	91
applicably	86
applicant	25
application	40
applicator	19
applicatory	77
applied	76
applier	47
apply	62
appoint	69
appointee	38
appointer	57
appointment	50
appraisable	67
appraisal	47
appraise	82
appraisement	70
appraiser	34
appraising	79
appraisingly	82
appreciable	86
appreciably	83
appreciate	69
appreciation	84
appreciative	77
appreciatively	78
appreciativeness	86
appreciator	50
appreciatory	82
apprehend	55
apprehender	43
apprehensibility	86
apprehensible	82
apprehension	83
apprehensive	76
apprehensively	82
apprehensiveness	81
apprentice	33
apprenticeship	57
apprise	80
approach	56
approachability	78
approachable	70
approachableness	76
approaching	59
appropriate	75
appropriately	80
appropriateness	73
appropriation	76
appropriator	58
approvable	78
approval	67
approve	79
approver	58
approvingly	78
approximate	74
approximately	62
approximation	79
approximatively	72
apricot	1
april	42
apron	3
apt	80
aptitude	86
aptly	84
aptness	85
aqua	34
aquaculture	59
aquamarine	14
aquarian	34
aquarium	6
aquarius	61
aquatic	39
aquatically	48
aquatics	39
aqueduct	9
aquifer	24
arabic	39
arachnid	9
arachnophobia	60
arbitrarily	90
arbitrariness	86
arbitrary	84
arbitrate	72
arbitration	75
arbitrational	86
arbitrative	83
arbitrator	45
arbor	25
arc	22
arcade	6
arch	10
archaeological	58
archaeologically	72
archaeologist	14
archaeology	48
archaic	69
archaically	92
archangel	52
archangelic	62
archbishop	22
archdeacon	25
archduchess	38
archduke	27
arched	30
archenemy	47
archer	28
archery	27
arches	18
archetypal	79
archetypical	91
arching	44
archipelago	26
architect	31
architectural	46
architecturally	53
architecture	35
archive	36
archives	27
archivist	36
archway	18
arcing	49
arctic	50
ardent	84
ardently	84
arduously	88
arduousness	82
are	76
area	32
arena	4
areola	5
argon	45
arguable	79
arguably	80
argue	56
arguer	49
argument	54
argumentation	75
argumentative	66
argumentatively	73
argumentativeness	79
arid	51
aridity	46
aridness	54
arise	46
arisen	71
aristocracy	51
aristocrat	31
aristocratic	64
aristocratically	85
aristocratism	70
arithmetic	56
arithmetically	68
arithmetician	38
ark	8
arm	1
armada	24
armadillo	2
armageddon	52
armband	8
armchair	0
armed	35
armful	39
armhole	19
arming	60
armless	32
armload	36
armoire	12
armor	6
armored	35
armory	16
armpit	5
armrest	6
arms	1
army	7
aroma	33
aromatherapy	45
aromatic	49
aromatically	62
aromatization	66
aromatize	55
arose	70
around	76
arousal	54
arouse	54
arouser	63
arraign	64
arraignment	60
arrange	55
arrangement	68
arranger	55
array	62
arrest	27
arrestee	24
arrester	43
arresting	54
arrestingly	78
arrhythmia	51
arrhythmic	62
arrival	48
arrive	44
arrogance	82
arrogant	73
arrogantly	77
arrow	1
arrowed	57
arrowhead	7
arrowless	52
arsenal	29
arsenic	18
arson	34
arsonist	26
art	21
artbook	15
arterially	47
arteriolosclerosis	41
artery	13
artesian	52
artful	64
artfully	80
artfulness	78
arthritic	41
arthritis	38
artichoke	9
article	17
articled	67
articulate	70
articulated	73
articulately	88
articulateness	73
articulation	59
artifact	12
artifice	57
artificial	52
artificiality	68
artificially	80
artificialness	74
artillery	17
artilleryman	18
artisan	49
artisanship	82
artist	19
artistic	72
artistically	72
artistry	75
artless	78
artlessly	82
artlessness	80
arts	31
artsy	69
artwork	15
arugula	23
as	92
asbestos	12
ascend	58
ascendable	67
ascendant	69
ascendency	77
ascender	59
ascending	58
ascension	66
ascent	60
ascertain	72
ascertainable	84
ascertainably	86
ascot	17
ascribe	64
aseptic	73
asexual	64
asexuality	58
asexualize	80
asexually	73
ash	1
ashamed	82
ashamedly	86
ashamedness	73
ashcan	5
ashen	47
ashes	2
ashore	40
ashtray	1
ashy	42
aside	70
asinine	83
ask	62
asker	47
askew	49
asleep	32
asocial	76
asparagus	1
aspartame	12
aspect	80
aspen	10
asphalt	4
asphyxia	37
asphyxiate	31
asphyxiation	34
aspirate	43
aspiration	80
aspirator	41
aspire	87
aspirer	75
aspirin	6
aspiring	78
ass	8
assail	58
assailant	26
assailer	44
assassin	14
assassinate	50
assassination	30
assassinator	42
assault	40
assaulter	36
assaying	65
assemblage	50
assemble	33
assembler	34
assembly	30
assemblyman	31
assent	59
assenting	71
assert	74
asserter	68
assertion	70
assertive	73
assertively	81
assertiveness	72
assess	68
assessed	75
assessment	72
assessor	51
asset	52
assets	37
asshole	23
assign	54
assignable	74
assigned	81
assigner	48
assignment	29
assimilate	71
assimilation	74
assimilative	85
assimilator	54
assist	62
assistance	69
assistant	23
assistantship	60
assister	63
assistive	74
associability	83
associate	40
associated	72
association	68
associational	86
associative	77
associatively	78
assort	67
assorted	46
assortment	62
assumable	82
assume	81
assumed	78
assumer	58
assuming	88
assumingly	83
assumption	79
assumptive	90
assurable	82
assurance	81
assure	64
assured	70
assuredly	80
assuredness	85
assurer	62
assuring	84
asterisk	25
asteroid	3
asthma	32
asthmatic	51
asthmatically	63
astigmatism	46
astonish	82
astonished	71
astonisher	60
astonishing	83
astonishingly	86
astonishment	52
astound	77
astounded	82
astounding	83
astoundingly	85
astral	68
astride	60
astringency	75
astringent	45
astrobiology	67
astrologer	31
astrologic	68
astrological	63
astrologically	73
astrologist	28
astrology	63
astronaut	6
astronautics	62
astronomer	18
astronomic	62
astronomical	52
astronomically	78
astronomy	49
astrophotography	32
astrophysical	81
astrophysicist	23
astrophysics	50
astute	79
astutely	84
asylum	15
asymmetric	38
asymmetrical	45
asymmetrically	68
asymmetry	53
asymptomatic	72
at	73
ate	31
atheism	69
atheist	52
atheistic	83
athlete	18
athletic	58
athletically	68
athleticism	76
athletics	34
atlantic	44
atlas	5
atmosphere	49
atmospheric	52
atmospherically	70
atmospherics	63
atom	42
atomic	52
atomically	77
atomics	67
atomization	55
atomize	69
atomizer	24
atonable	86
atone	78
atonement	89
atop	44
atrium	7
atrocious	83
atrociously	84
atrociousness	71
atrocity	71
atrophy	54
attach	42
attachable	52
attached	44
attachment	49
attack	32
attackable	70
attacker	24
attain	70
attainability	73
attainable	70
attainment	72
attempt	70
attemptable	73
attempted	75
attempter	55
attend	46
attendance	48
attendant	14
attendee	30
attention	68
attentive	80
attentively	76
attentiveness	69
attest	78
attestable	76
attic	12
attire	13
attitude	76
attorney	12
attract	57
attraction	69
attractive	59
attractively	77
attractiveness	72
attractor	55
attributable	80
attribute	67
attributer	73
attribution	74
attributive	82
attributively	74
attunement	81
atypical	77
auburn	32
auction	27
auctioneer	11
audacious	84
audaciously	88
audaciousness	83
audacity	84
audibility	76
audible	44
audibleness	49
audibly	52
audience	18
audio	38
audiogram	31
audiologist	25
audiology	71
audiometric	68
audiotape	5
audiovisual	51
audit	46
audition	34
auditor	40
auditorium	7
auditory	48
augment	55
augmentable	65
augmentation	56
augmentative	75
augmented	64
augmenter	71
august	49
aunt	21
auntie	13
aura	58
aural	62
aurora	38
auspices	78
auspicious	76
auspiciously	85
auspiciousness	83
austere	76
austerity	90
authentic	67
authentically	78
authenticate	68
authentication	75
authenticator	47
authenticity	82
author	19
authoritarian	73
authoritarianism	83
authoritative	83
authoritatively	86
authoritativeness	69
authority	66
authorization	64
authorize	70
authorized	70
authorizer	63
authorless	70
authorship	62
autism	58
autistic	53
auto	25
autobiographer	23
autobiographical	56
autobiographically	55
autobiography	31
autocracy	69
autocratic	82
autoeroticism	56
autograph	19
autographed	29
autographic	59
autoimmune	59
autoimmunization	57
automaker	23
automate	57
automated	56
automatic	55
automatically	74
automaticity	64
automation	63
automaton	38
automobile	1
automotive	20
autonomous	75
autonomously	66
autonomy	74
autopilot	48
autopsy	18
autoregulation	77
autoworker	8
autumn	43
auxiliary	59
avail	92
availability	67
available	72
availableness	74
availably	84
avalanche	17
avatar	45
avenge	73
avengement	82
avenger	48
avenging	73
avenue	25
average	65
averagely	73
aversely	75
averseness	87
aversion	79
avert	65
averted	74
avertedly	85
aviation	40
aviator	11
avid	82
avidly	78
avocado	3
avoid	65
avoidable	80
avoidably	86
avoidance	78
avoider	72
avowed	79
await	86
awake	42
awaken	39
awakening	48
award	22
awardable	81
awardee	28
awarder	38
aware	75
awareness	79
awash	73
away	69
awe	78
awed	80
awesome	79
awesomely	83
awesomeness	86
awestruck	74
awful	77
awfully	83
awfulness	70
awhile	86
awkward	75
awkwardly	79
awkwardness	66
awl	30
awning	10
awoke	31
awry	72
ax	2
axe	0
axed	60
axel	12
axes	8
axially	59
axiom	75
axis	36
axle	12
aye	73
azalea	15
babble	42
babbler	35
babbling	35
babe	33
babied	67
baboon	2
baboonish	63
baby	0
babycarriage	10
babyface	38
babyhood	56
babyish	58
